date;ili_cases;resp_admissions;otc_sales_index;flu_vaccine_campaign;holiday;day_of_week;month;year;trend
2013-05-19;1642;759;4076;0;0;Sunday;5;2013;1,67263462343568
2013-05-20;1625;931;4076;0;0;Monday;5;2013;1,67710992858629
2013-05-21;1613;947;4093;0;0;Tuesday;5;2013;1,68124885560392
2013-05-22;1628;944;4096;0;0;Wednesday;5;2013;1,67737206542486
2013-05-23;1621;973;4039;0;0;Thursday;5;2013;1,67792522537601
2013-05-24;1598;962;3960;0;0;Friday;5;2013;1,68263077658513
2013-05-25;1589;773;4022;0;0;Saturday;5;2013;1,68349208809455
2013-05-26;1594;775;4068;0;0;Sunday;5;2013;1,69962594832823
2013-05-27;1609;986;4122;0;0;Monday;5;2013;1,69981601991169
2013-05-28;1605;959;4118;0;0;Tuesday;5;2013;1,70048432958568
2013-05-29;1604;975;4098;0;0;Wednesday;5;2013;1,71245295535120
2013-05-30;1594;975;4068;0;0;Thursday;5;2013;1,70688927121949
2013-05-31;1584;969;4016;0;0;Friday;5;2013;1,71148228646798
2013-06-01;1574;763;4031;0;0;Saturday;6;2013;1,70096683824451
2013-06-02;1583;767;4036;0;0;Sunday;6;2013;1,71763853373686
2013-06-03;1569;960;4066;0;0;Monday;6;2013;1,71990207672312
2013-06-04;1574;960;4029;0;0;Tuesday;6;2013;1,72022362347640
2013-06-05;1564;955;4050;0;0;Wednesday;6;2013;1,71284110019654
2013-06-06;1566;960;4056;0;0;Thursday;6;2013;1,71776347985876
2013-06-07;1577;947;4093;0;0;Friday;6;2013;1,71476065807925
2013-06-08;1579;761;4046;0;0;Saturday;6;2013;1,71442573477974
2013-06-09;1572;756;4027;0;0;Sunday;6;2013;1,73230248723559
2013-06-10;1554;954;4075;0;0;Monday;6;2013;1,73554722853317
2013-06-11;1563;940;4036;0;0;Tuesday;6;2013;1,72982940469166
2013-06-12;1557;960;3998;0;0;Wednesday;6;2013;1,73646147351634
2013-06-13;1538;947;4024;0;0;Thursday;6;2013;1,73783408936006
2013-06-14;1555;958;4054;0;0;Friday;6;2013;1,74873422483993
2013-06-15;1558;780;4057;0;0;Saturday;6;2013;1,76805844411724
2013-06-16;1540;779;4179;0;0;Sunday;6;2013;1,76313151900614
2013-06-17;1581;969;4059;0;0;Monday;6;2013;1,77267802198195
2013-06-18;1513;977;4109;0;0;Tuesday;6;2013;1,77852700256873
2013-06-19;1542;973;4096;0;0;Wednesday;6;2013;1,79248265839138
2013-06-20;1521;975;4105;0;0;Thursday;6;2013;1,79518487700191
2013-06-21;1527;966;4094;0;0;Friday;6;2013;1,80855106768652
2013-06-22;1504;774;4063;0;0;Saturday;6;2013;1,79610050907315
2013-06-23;1505;790;4093;0;0;Sunday;6;2013;1,81799509828629
2013-06-24;1494;988;4123;0;0;Monday;6;2013;1,83164287807147
2013-06-25;1503;997;4174;0;0;Tuesday;6;2013;1,83513511818262
2013-06-26;1504;964;4118;0;0;Wednesday;6;2013;1,82564504688122
2013-06-27;1511;1003;4184;0;0;Thursday;6;2013;1,83707513388164
2013-06-28;1510;981;4172;0;0;Friday;6;2013;1,84690707251979
2013-06-29;1504;783;4199;0;0;Saturday;6;2013;1,85184351625558
2013-06-30;1500;784;4233;0;0;Sunday;6;2013;1,85835807518420
2013-07-01;1524;963;4212;0;0;Monday;7;2013;1,85751698548070
2013-07-02;1521;971;4228;0;0;Tuesday;7;2013;1,86620505280701
2013-07-03;1513;981;4333;0;0;Wednesday;7;2013;1,87415159620420
2013-07-04;1530;973;4307;0;0;Thursday;7;2013;1,87635900247078
2013-07-05;1521;989;4228;0;0;Friday;7;2013;1,86799663592184
2013-07-06;1512;798;4228;0;0;Saturday;7;2013;1,88000412410624
2013-07-07;1490;803;4257;0;0;Sunday;7;2013;1,89054609032899
2013-07-08;1494;1003;4207;0;0;Monday;7;2013;1,88718302440097
2013-07-09;1490;997;4119;0;0;Tuesday;7;2013;1,87623714278091
2013-07-10;1472;1009;4099;0;0;Wednesday;7;2013;1,88328672858679
2013-07-11;1453;994;4065;0;0;Thursday;7;2013;1,88483584880706
2013-07-12;1431;1016;4034;0;0;Friday;7;2013;1,89236196584070
2013-07-13;1418;797;4087;0;0;Saturday;7;2013;1,88442194118586
2013-07-14;1432;795;4002;0;0;Sunday;7;2013;1,87983023674205
2013-07-15;1427;999;4015;0;0;Monday;7;2013;1,89568798527885
2013-07-16;1407;998;3963;0;0;Tuesday;7;2013;1,90472573432601
2013-07-17;1384;996;3892;0;0;Wednesday;7;2013;1,91559060969320
2013-07-18;1346;981;3902;0;0;Thursday;7;2013;1,93874289415474
2013-07-19;1344;991;3966;0;0;Friday;7;2013;1,94503110844076
2013-07-20;1351;786;3835;0;0;Saturday;7;2013;1,93002181606345
2013-07-21;1330;764;3888;0;0;Sunday;7;2013;1,93835958803778
2013-07-22;1341;977;4028;0;0;Monday;7;2013;1,95507283931137
2013-07-23;1364;997;3939;0;0;Tuesday;7;2013;1,98066823173437
2013-07-24;1322;984;3938;0;0;Wednesday;7;2013;1,97189961575196
2013-07-25;1332;946;3886;0;0;Thursday;7;2013;1,96539106009569
2013-07-26;1312;921;3951;0;0;Friday;7;2013;1,96333284614809
2013-07-27;1331;725;3884;0;0;Saturday;7;2013;1,95779228832732
2013-07-28;1321;741;3865;0;0;Sunday;7;2013;1,95633485109589
2013-07-29;1325;923;3882;0;0;Monday;7;2013;1,95948107141913
2013-07-30;1321;916;3830;0;0;Tuesday;7;2013;1,95246885091173
2013-07-31;1322;952;3862;0;0;Wednesday;7;2013;1,97783857258156
2013-08-01;1322;919;3869;0;0;Thursday;8;2013;1,98391632003041
2013-08-02;1302;930;3966;0;0;Friday;8;2013;1,98807523902536
2013-08-03;1324;741;4020;0;0;Saturday;8;2013;1,99803143544140
2013-08-04;1334;751;3942;0;0;Sunday;8;2013;2,00340558730258
2013-08-05;1321;913;3951;0;0;Monday;8;2013;2,00708470693302
2013-08-06;1316;950;3849;0;0;Tuesday;8;2013;2,02685258116855
2013-08-07;1284;939;3926;0;0;Wednesday;8;2013;2,02968227906762
2013-08-08;1292;954;3809;0;0;Thursday;8;2013;2,02184625702670
2013-08-09;1251;960;3860;0;0;Friday;8;2013;2,03070293593114
2013-08-10;1259;735;3736;0;0;Saturday;8;2013;2,03218780719584
2013-08-11;1231;766;3786;0;0;Sunday;8;2013;2,03196984626228
2013-08-12;1226;948;3715;0;0;Monday;8;2013;2,02628853425541
2013-08-13;1224;938;3788;0;0;Tuesday;8;2013;2,03557219328808
2013-08-14;1232;940;3868;0;0;Wednesday;8;2013;2,03883201094381
2013-08-15;1249;925;3807;0;0;Thursday;8;2013;2,04898868823029
2013-08-16;1233;927;3775;0;0;Friday;8;2013;2,05164503545723
2013-08-17;1231;712;3726;0;0;Saturday;8;2013;2,05006000119901
2013-08-18;1225;731;3756;0;0;Sunday;8;2013;2,06756236723980
2013-08-19;1217;883;3730;0;0;Monday;8;2013;2,06984473008868
2013-08-20;1213;894;3820;0;0;Tuesday;8;2013;2,08432425004744
2013-08-21;1223;900;3864;0;0;Wednesday;8;2013;2,07730842574635
2013-08-22;1243;886;3959;0;0;Thursday;8;2013;2,07764726478259
2013-08-23;1254;909;3885;0;0;Friday;8;2013;2,07995375083106
2013-08-24;1241;723;3904;0;0;Saturday;8;2013;2,08104409674975
2013-08-25;1248;724;3862;0;0;Sunday;8;2013;2,09953116686967
2013-08-26;1230;899;3829;0;0;Monday;8;2013;2,10430351985668
2013-08-27;1207;893;3792;0;0;Tuesday;8;2013;2,11174577836772
2013-08-28;1218;894;3846;0;0;Wednesday;8;2013;2,10732206128908
2013-08-29;1215;913;3860;0;0;Thursday;8;2013;2,10502988852398
2013-08-30;1235;919;3843;0;0;Friday;8;2013;2,12001057760953
2013-08-31;1220;748;3854;0;0;Saturday;8;2013;2,13759539425549
2013-09-01;1194;751;3870;0;0;Sunday;9;2013;2,15508403114359
2013-09-02;1203;939;3773;0;0;Monday;9;2013;2,14627766064834
2013-09-03;1175;949;3791;0;0;Tuesday;9;2013;2,17177726758470
2013-09-04;1167;939;3818;0;0;Wednesday;9;2013;2,18694599588270
2013-09-05;1164;925;3861;0;0;Thursday;9;2013;2,19167882124131
2013-09-06;1160;942;3791;0;0;Friday;9;2013;2,20371489902930
2013-09-07;1142;764;3833;0;0;Saturday;9;2013;2,19900104673778
2013-09-08;1166;749;3816;0;0;Sunday;9;2013;2,19303948432219
2013-09-09;1163;921;3813;0;0;Monday;9;2013;2,19852998883156
2013-09-10;1150;931;3716;0;0;Tuesday;9;2013;2,19154503026599
2013-09-11;1143;911;3730;0;0;Wednesday;9;2013;2,19844522025158
2013-09-12;1129;897;3823;0;0;Thursday;9;2013;2,21642227924763
2013-09-13;1142;910;3797;0;0;Friday;9;2013;2,21108354201798
2013-09-14;1153;727;3781;0;0;Saturday;9;2013;2,20869913447585
2013-09-15;1143;711;3865;0;0;Sunday;9;2013;2,21416477387036
2013-09-16;1163;880;3760;0;0;Monday;9;2013;2,20898881267210
2013-09-17;1151;911;3866;0;0;Tuesday;9;2013;2,21015597307324
2013-09-18;1159;883;3925;0;0;Wednesday;9;2013;2,22388352718995
2013-09-19;1174;908;3841;0;0;Thursday;9;2013;2,23857897732965
2013-09-20;1157;887;3892;0;0;Friday;9;2013;2,24741744397992
2013-09-21;1164;709;3916;0;0;Saturday;9;2013;2,23390188734925
2013-09-22;1170;712;3893;0;0;Sunday;9;2013;2,23836191998099
2013-09-23;1162;909;3928;0;0;Monday;9;2013;2,25400965212437
2013-09-24;1168;920;3951;0;0;Tuesday;9;2013;2,26714160249849
2013-09-25;1172;913;4074;0;0;Wednesday;9;2013;2,27023343775744
2013-09-26;1188;913;4035;0;0;Thursday;9;2013;2,24823413967181
2013-09-27;1195;924;4038;0;0;Friday;9;2013;2,25384380605982
2013-09-28;1184;726;4039;0;0;Saturday;9;2013;2,26458132303465
2013-09-29;1196;725;4128;0;0;Sunday;9;2013;2,27003935883190
2013-09-30;1214;939;4097;0;0;Monday;9;2013;2,27661348423366
2013-10-01;1196;937;4200;0;0;Tuesday;10;2013;2,28592913796235
2013-10-02;1222;933;4095;0;0;Wednesday;10;2013;2,28696364060185
2013-10-03;1191;940;4112;0;0;Thursday;10;2013;2,30506342285936
2013-10-04;1188;971;4127;0;0;Friday;10;2013;2,31476735685810
2013-10-05;1192;767;4028;0;0;Saturday;10;2013;2,30734065415236
2013-10-06;1167;775;4140;0;0;Sunday;10;2013;2,32615640871621
2013-10-07;1185;970;4035;0;0;Monday;10;2013;2,34320099808631
2013-10-08;1152;1008;4101;0;0;Tuesday;10;2013;2,35644173772313
2013-10-09;1158;984;3992;0;0;Wednesday;10;2013;2,34481544370127
2013-10-10;1149;1003;4109;0;0;Thursday;10;2013;2,34412238026522
2013-10-11;1174;980;4089;0;0;Friday;10;2013;2,35547751843811
2013-10-12;1157;793;4198;0;0;Saturday;10;2013;2,36091473851389
2013-10-13;1191;798;4184;0;0;Sunday;10;2013;2,36939486155051
2013-10-14;1176;990;4221;0;0;Monday;10;2013;2,39899079703921
2013-10-15;1160;1013;4129;1;0;Tuesday;10;2013;2,39580699379521
2013-10-16;1138;954;4083;1;0;Wednesday;10;2013;2,37967499264592
2013-10-17;1149;960;3985;1;0;Thursday;10;2013;2,38741194537023
2013-10-18;1113;976;4022;1;0;Friday;10;2013;2,38553597695779
2013-10-19;1126;788;4029;1;0;Saturday;10;2013;2,39499638748741
2013-10-20;1127;783;3997;1;0;Sunday;10;2013;2,39187254024950
2013-10-21;1113;1010;3964;1;0;Monday;10;2013;2,41899309505286
2013-10-22;1092;986;4004;1;0;Tuesday;10;2013;2,42275603533708
2013-10-23;1105;992;3917;1;0;Wednesday;10;2013;2,42298268027678
2013-10-24;1082;971;3917;1;0;Thursday;10;2013;2,42632006536191
2013-10-25;1075;972;3894;1;0;Friday;10;2013;2,43994569919818
2013-10-26;1067;759;3833;1;0;Saturday;10;2013;2,44591910405021
2013-10-27;1057;766;3969;1;0;Sunday;10;2013;2,43466293665809
2013-10-28;1088;963;3975;1;0;Monday;10;2013;2,43961672897983
2013-10-29;1088;951;4021;1;0;Tuesday;10;2013;2,45221915065645
2013-10-30;1095;935;3995;1;0;Wednesday;10;2013;2,45760905978518
2013-10-31;1086;957;4084;1;0;Thursday;10;2013;2,46995978120132
2013-11-01;1108;937;4016;1;0;Friday;11;2013;2,47349505493133
2013-11-02;1088;732;4033;1;0;Saturday;11;2013;2,47791618157752
2013-11-03;1096;738;4183;1;0;Sunday;11;2013;2,48773987623856
2013-11-04;1116;923;4098;1;0;Monday;11;2013;2,50266931260632
2013-11-05;1100;954;4154;1;0;Tuesday;11;2013;2,49520535762600
2013-11-06;1111;956;4072;1;0;Wednesday;11;2013;2,49987048237754
2013-11-07;1102;956;4149;1;0;Thursday;11;2013;2,50416086056504
2013-11-08;1107;944;4181;1;0;Friday;11;2013;2,50157165402774
2013-11-09;1112;772;4149;1;0;Saturday;11;2013;2,49622806041834
2013-11-10;1115;759;4240;1;0;Sunday;11;2013;2,49492074087864
2013-11-11;1137;959;4331;1;0;Monday;11;2013;2,50578881807877
2013-11-12;1147;978;4354;1;0;Tuesday;11;2013;2,50662559151693
2013-11-13;1163;963;4442;1;0;Wednesday;11;2013;2,50377671342188
2013-11-14;1177;958;4530;1;0;Thursday;11;2013;2,51041087661674
2013-11-15;1197;977;4522;1;0;Friday;11;2013;2,50304373426564
2013-11-16;1199;772;4590;1;0;Saturday;11;2013;2,51850247202801
2013-11-17;1213;776;4583;1;0;Sunday;11;2013;2,51865651786582
2013-11-18;1208;983;4598;1;0;Monday;11;2013;2,52554780598263
2013-11-19;1214;1013;4696;1;0;Tuesday;11;2013;2,53105786929838
2013-11-20;1227;1016;4676;1;0;Wednesday;11;2013;2,53605546260951
2013-11-21;1226;1047;4712;1;0;Thursday;11;2013;2,55914928303394
2013-11-22;1229;1050;4793;1;0;Friday;11;2013;2,55589600346284
2013-11-23;1242;861;4903;1;0;Saturday;11;2013;2,57235070798512
2013-11-24;1270;860;4841;1;0;Sunday;11;2013;2,57766643986066
2013-11-25;1248;1089;4826;1;0;Monday;11;2013;2,57431438180759
2013-11-26;1258;1076;4933;1;0;Tuesday;11;2013;2,57862674531742
2013-11-27;1272;1098;7006;1;0;Wednesday;11;2013;2,59109446218755
2013-11-28;1283;1098;6906;1;1;Thursday;11;2013;2,59183927484360
2013-11-29;1269;1112;6971;1;1;Friday;11;2013;2,58911845249167
2013-11-30;1275;911;7097;1;1;Saturday;11;2013;2,59564609355915
2013-12-01;1306;896;5276;0;1;Sunday;12;2013;2,61053206201094
2013-12-02;1344;1151;5493;0;0;Monday;12;2013;2,61479747866421
2013-12-03;1397;1136;5575;0;0;Tuesday;12;2013;2,60592721312862
2013-12-04;1421;1137;5696;0;0;Wednesday;12;2013;2,59786045408486
2013-12-05;1450;1157;5888;0;0;Thursday;12;2013;2,59517650083408
2013-12-06;1512;1179;5921;0;0;Friday;12;2013;2,59490541958034
2013-12-07;1517;932;6056;0;0;Saturday;12;2013;2,59969114892992
2013-12-08;1551;928;6090;0;0;Sunday;12;2013;2,61139612963988
2013-12-09;1567;1204;6178;0;0;Monday;12;2013;2,61204995925416
2013-12-10;1580;1233;6297;0;0;Tuesday;12;2013;2,60591116142103
2013-12-11;1617;1284;6375;0;0;Wednesday;12;2013;2,61698222136982
2013-12-12;1628;1298;6549;0;0;Thursday;12;2013;2,62473679105721
2013-12-13;1669;1347;6645;0;0;Friday;12;2013;2,64131026175136
2013-12-14;1678;1118;6715;0;0;Saturday;12;2013;2,62948545315658
2013-12-15;1702;1128;6740;0;0;Sunday;12;2013;2,63535864404553
2013-12-16;1711;1434;6909;0;0;Monday;12;2013;2,65389226298495
2013-12-17;1733;1461;7070;0;0;Tuesday;12;2013;2,66613400099179
2013-12-18;1761;1466;6973;0;0;Wednesday;12;2013;2,66280847273415
2013-12-19;1751;1500;7110;0;0;Thursday;12;2013;2,67513375760183
2013-12-20;1770;1520;7220;0;0;Friday;12;2013;2,67141448890186
2013-12-21;1799;1252;7201;0;0;Saturday;12;2013;2,67188051378956
2013-12-22;1803;1266;7436;0;0;Sunday;12;2013;2,68875585657585
2013-12-23;1847;1591;10436;0;0;Monday;12;2013;2,69085440345795
2013-12-24;1848;1630;10588;0;1;Tuesday;12;2013;2,70413986490760
2013-12-25;1865;1649;10731;0;1;Wednesday;12;2013;2,70622758781981
2013-12-26;1886;1656;7692;0;1;Thursday;12;2013;2,69546396377233
2013-12-27;1904;1654;7762;0;0;Friday;12;2013;2,69197580680284
2013-12-28;1922;1320;7840;0;0;Saturday;12;2013;2,68609060818327
2013-12-29;1949;1347;7968;0;0;Sunday;12;2013;2,68624770247210
2013-12-30;1975;1703;11064;0;0;Monday;12;2013;2,68788459038200
2013-12-31;1965;1736;11399;0;1;Tuesday;12;2013;2,69135101147539
2014-01-01;2009;1736;8202;0;1;Wednesday;1;2014;2,69391853918964
2014-01-02;2042;1776;8326;0;0;Thursday;1;2014;2,71784055960564
2014-01-03;2045;1780;8254;0;0;Friday;1;2014;2,70898057623279
2014-01-04;2040;1434;8331;0;0;Saturday;1;2014;2,70983233322571
2014-01-05;2044;1464;8326;0;0;Sunday;1;2014;2,71832314850678
2014-01-06;2044;1867;8525;0;0;Monday;1;2014;2,73960757116493
2014-01-07;2081;1896;8664;0;0;Tuesday;1;2014;2,74549279012207
2014-01-08;2111;1906;8920;0;0;Wednesday;1;2014;2,76288429720607
2014-01-09;2152;1932;8923;0;0;Thursday;1;2014;2,75143874184854
2014-01-10;2172;1978;9159;0;0;Friday;1;2014;2,77090230710232
